rank,feature_idx,feature_name,importance_mean,importance_std
141,190,f189,0.0029631441755963417,0.003052292005693823
142,36,f035,0.0029628098366115815,0.0030207658870540304
143,46,f045,0.002955402398721594,0.0026429491267851444
144,45,f044,0.002922937179610479,0.0019893780533559837
145,165,f164,0.002900811020158929,0.002607000262306836
146,78,f077,0.002886691026581145,0.00223989873781266
147,85,f084,0.0028734196988439422,0.002708400656933938
148,65,f064,0.002848100277618246,0.0024138623608905784
149,8,f007,0.0027552828065720283,0.0025653328190772978
150,56,f055,0.002749130971107587,0.003096045088336381
151,55,f054,0.0027083291177721013,0.0022508248150424418
152,185,f184,0.002698429751716635,0.0023557594847726064
153,53,f052,0.0026919788604659713,0.002561058486952647
154,42,f041,0.0026596086517114022,0.0029390214681206494
155,204,f203,0.0026145104986464588,0.002376527806038975
156,40,f039,0.0025915969468746393,0.0022739933626082344
157,41,f040,0.002554564812695812,0.002150694413641636
158,91,f090,0.002552386540124849,0.003163951147476747
159,143,f142,0.002512689811001159,0.0025699041948881876
160,150,f149,0.0025083003571200546,0.002964678577805429
161,97,f096,0.002466698146437647,0.0021796364576663757
162,82,f081,0.002447586053409858,0.002019147953207728
163,4,f003,0.0024217839336524347,0.0030026217218032066
164,154,f153,0.0024071440413425014,0.0024524514508053145
165,0,id,0.0023901466675856796,0.002203379099335556
166,125,f124,0.002333268616405668,0.00216749274047239
167,59,f058,0.0022787471793494257,0.0016239179403443552
168,74,f073,0.002228667994125568,0.002502237450348068
169,170,f169,0.002214475490493011,0.002345538767992309
170,130,f129,0.0021487314210357944,0.0025657394946918973
171,29,f028,0.002112915423406081,0.0020909788681355477
172,25,f024,0.0020438019716758583,0.0021666692135954464
173,10,f009,0.0020153753020166975,0.0020245417781577213
174,111,f110,0.001969138478079948,0.0022714635998099916
175,9,f008,0.0019444583961578665,0.0024919128464041393
176,172,f171,0.001943168900449388,0.0019296889558076875
177,14,f013,0.0019345786124696572,0.0020938258256558875
178,142,f141,0.0017771683605361896,0.002047962189442705
179,186,f185,0.0016825647794532904,0.002968607681885619
180,70,f069,0.0016393147338015046,0.0022120052185364324
181,103,f102,0.0016282025383297816,0.0021186081892101533
182,52,f051,0.0016182424591036644,0.002851792886043039
183,58,f057,0.001587682424171626,0.002729686360170962
184,205,f204,0.00158422464684751,0.0020465854902073184
185,175,f174,0.0015336489211343095,0.0021978901582966124
186,182,f181,0.0015145796769355435,0.002169055800783019
187,57,f056,0.0013918278164698485,0.0019173837998031826
188,152,f151,0.001378821625253055,0.0023301427529677054
189,122,f121,0.0013745917904136908,0.002281911744758587
190,7,f006,0.0013075204156525453,0.0014922597608612851
191,20,f019,0.001226156248444381,0.0018920891270623303
192,116,f115,0.001118155924993767,0.0021951272818059027
193,84,f083,0.001101573496240582,0.002055332199352325
194,18,f017,0.0010897720176626315,0.002793174269820806
195,201,f200,0.001080172582824641,0.0018354829469574008
196,83,f082,0.0010594756789218574,0.00226249555702744
197,6,f005,0.0010453754237913682,0.00234647286612122
198,139,f138,0.0009994389007202242,0.002263011069196667
199,187,f186,0.000983556424123835,0.0029825598768490284
200,136,f135,0.0008932048721926522,0.0021179587162757562
201,178,f177,0.0008532513122111185,0.002351184740525221
202,149,f148,0.0006961573386127949,0.001962685974735658
203,131,f130,0.0005335346627217374,0.0019127149468203379
204,35,f034,0.0002890758333546772,0.002789718223939217
205,166,f165,-0.0005352894405941687,0.002160806816773956
206,86,f085,-0.0006131094549594528,0.0020917691998096925
