record_id,model_id,training_loss,validation_loss,training_acc,validation_acc
0,0,1.1832786470651626,1.142824444770813,0.5596875,0.595
1,0,1.0965473759174347,1.0764114212989808,0.600625,0.611875
2,0,1.032677120566368,1.0252182984352112,0.629375,0.633125
3,0,0.981231970191002,0.9832772016525269,0.65046875,0.64875
4,0,0.9376853519678116,0.9474173474311829,0.6696875,0.660625
5,0,0.8996166270971299,0.9159687209129334,0.6840625,0.675
6,0,0.8656062120199204,0.8878701829910278,0.7,0.68
7,0,0.8347521263360977,0.8623632359504699,0.710625,0.689375
8,0,0.8064090991020203,0.8389052939414978,0.72296875,0.695
9,0,0.7801424670219421,0.817156572341919,0.734375,0.703125
10,0,0.7556365427374839,0.7968606734275818,0.74609375,0.713125
11,0,0.7326315855979919,0.7778249502182006,0.75375,0.719375
12,0,0.7109645956754684,0.7598845434188842,0.761875,0.724375
13,0,0.6904920834302902,0.7429248023033143,0.76953125,0.73125
14,0,0.671079668700695,0.7268448281288147,0.77828125,0.74
15,0,0.6526228839159012,0.7115245509147644,0.78515625,0.745625
16,0,0.6350502821803093,0.6969675660133362,0.79203125,0.749375
17,0,0.6182938235998153,0.6830980277061462,0.79890625,0.75625
18,0,0.6022942578792572,0.6698624920845032,0.80421875,0.761875
19,0,0.5869933602213859,0.6572341907024384,0.8109375,0.766875
20,0,0.5723392999172211,0.6451536047458649,0.81625,0.770625
21,0,0.5583056458830833,0.633610508441925,0.82078125,0.77125
22,0,0.5448353698849678,0.6225313746929169,0.825625,0.775
23,0,0.5319175088405609,0.6119673645496368,0.83140625,0.77875
24,0,0.5195107850432396,0.6018712842464446,0.8340625,0.7825
25,0,0.5075842767953873,0.5922248899936676,0.8378125,0.7875
26,0,0.4961042231321335,0.583008805513382,0.84046875,0.79
27,0,0.48503719419240954,0.5741701924800873,0.84484375,0.794375
28,0,0.4743570524454117,0.5656728982925415,0.85,0.796875
29,0,0.46403912246227264,0.5575273752212524,0.85453125,0.8025
0,2,1.437903403043747,1.248781409263611,0.4321875,0.54125
1,2,1.2865048170089721,1.1564456415176392,0.51828125,0.58
2,2,1.203855156302452,1.0952311229705811,0.55125,0.606875
3,2,1.1476966977119445,1.04868625164032,0.57140625,0.6275
4,2,1.1079227495193482,1.008796534538269,0.58875,0.641875
5,2,1.0678413325548173,0.9740529084205627,0.60515625,0.65375
6,2,1.0417780184745788,0.9442585206031799,0.61015625,0.663125
7,2,1.0085315245389939,0.9166562247276306,0.6275,0.67375
8,2,0.9778750401735306,0.8907475996017457,0.640625,0.688125
9,2,0.9541108977794647,0.8681961321830749,0.64859375,0.69875
10,2,0.9391138529777527,0.8460853838920593,0.66328125,0.705
11,2,0.914636241197586,0.8261645960807801,0.668125,0.71
12,2,0.8943006581068039,0.807514157295227,0.6728125,0.720625
13,2,0.8758492457866669,0.7911448192596435,0.685625,0.72875
14,2,0.8565945094823837,0.773091950416565,0.6909375,0.739375
15,2,0.8359518373012542,0.7574857926368713,0.69984375,0.7475
16,2,0.8253967320919037,0.7427623915672302,0.70046875,0.75875
17,2,0.8075306504964829,0.7286105442047119,0.71078125,0.76375
18,2,0.7892660731077195,0.7155726432800293,0.723125,0.770625
19,2,0.7821104121208191,0.7025638687610626,0.72046875,0.775
20,2,0.7697038739919663,0.6907399237155915,0.72890625,0.77875
21,2,0.7494072753190995,0.6792704665660858,0.7334375,0.78125
22,2,0.7381227576732635,0.669055267572403,0.7390625,0.785625
23,2,0.7232656335830688,0.65776935338974,0.7525,0.788125
24,2,0.7148299190402031,0.6479779493808746,0.75125,0.79
25,2,0.707435919046402,0.639991102218628,0.75359375,0.7925
26,2,0.6909616795182228,0.6306210029125213,0.75703125,0.795
27,2,0.6827910971641541,0.6216892647743225,0.75734375,0.80125
28,2,0.6751515883207321,0.6131614458560943,0.75875,0.8025
29,2,0.6659115442633629,0.6052152335643768,0.7696875,0.8075
0,1,1.4486732697486877,1.3718035840988159,0.46765625,0.503125
1,1,1.3323389434814452,1.3070869541168213,0.49890625,0.50375
2,1,1.2822410535812379,1.2680470800399781,0.50234375,0.515
3,1,1.244835103750229,1.2351456165313721,0.515,0.530625
4,1,1.2113185596466065,1.2051616716384888,0.534375,0.545625
5,1,1.1798887187242508,1.1770080852508544,0.55,0.555625
6,1,1.149977810382843,1.1505319881439209,0.56484375,0.565625
7,1,1.121337713599205,1.1254533982276917,0.57984375,0.57625
8,1,1.0936084175109864,1.1014372253417968,0.59734375,0.590625
9,1,1.066555396914482,1.0782505345344544,0.613125,0.6
10,1,1.0401645785570144,1.055602900981903,0.625625,0.610625
11,1,1.0143839412927627,1.0335266852378846,0.63890625,0.620625
12,1,0.9892823028564454,1.0119565868377685,0.6528125,0.634375
13,1,0.964863451719284,0.9909274935722351,0.6625,0.640625
14,1,0.9411705499887466,0.9704430961608886,0.67140625,0.650625
15,1,0.9182405668497086,0.9505600810050965,0.68109375,0.659375
16,1,0.896089271903038,0.9313391327857972,0.6878125,0.671875
17,1,0.8747666114568711,0.9128618550300598,0.6959375,0.680625
18,1,0.8542081934213638,0.8951083421707153,0.705625,0.68875
19,1,0.8343759089708328,0.8779668021202087,0.71375,0.6925
20,1,0.8152359873056412,0.8614528870582581,0.72140625,0.70125
21,1,0.7967710188031196,0.8456246185302735,0.72921875,0.710625
22,1,0.7790000835061073,0.8304676628112793,0.73390625,0.715
23,1,0.7618667489290237,0.8159226250648498,0.740625,0.72375
24,1,0.7453070232272148,0.8018972492218017,0.74828125,0.72625
25,1,0.7292722547054291,0.7883545422554016,0.7525,0.728125
26,1,0.713684031367302,0.7753014850616455,0.758125,0.73125
27,1,0.6985676681995392,0.76264000415802,0.76375,0.73125
28,1,0.6838978344202041,0.7504142189025879,0.76890625,0.73875
29,1,0.6696583506464958,0.7386208963394165,0.77484375,0.74375
0,4,0.6456096169352531,0.719216058254242,0.78609375,0.754375
1,4,0.6274589538574219,0.7047463822364807,0.79375,0.758125
2,4,0.6102197352051735,0.6910941421985626,0.80171875,0.765625
3,4,0.5937883621454239,0.6781722021102905,0.808125,0.768125
4,4,0.5781058928370476,0.6659184765815734,0.8134375,0.7675
5,4,0.5631212574243546,0.6542801344394684,0.81921875,0.773125
6,4,0.5487881600856781,0.6432106411457061,0.825,0.77625
7,4,0.5350643432140351,0.6326686418056489,0.8290625,0.778125
8,4,0.5219110822677613,0.62261687874794,0.83421875,0.780625
9,4,0.509292753636837,0.6130216670036316,0.83859375,0.784375
10,4,0.49717653036117554,0.6038523685932159,0.8440625,0.78875
11,4,0.4855321511626244,0.5950810885429383,0.84765625,0.79375
12,4,0.47433152318000793,0.5866822707653045,0.85234375,0.794375
13,4,0.46354866862297056,0.5786325740814209,0.85734375,0.798125
14,4,0.45315946102142335,0.5709105443954468,0.86203125,0.800625
15,4,0.44314144968986513,0.5634965181350708,0.86421875,0.805
16,4,0.43347379326820373,0.556372435092926,0.86828125,0.8075
17,4,0.42413707375526427,0.5495216131210328,0.8709375,0.81125
18,4,0.41511314213275907,0.542928717136383,0.874375,0.81375
19,4,0.4063851647078991,0.5365796077251435,0.8771875,0.81625
20,4,0.39793740525841714,0.5304611611366272,0.88125,0.81875
21,4,0.3897551767528057,0.5245613050460816,0.8840625,0.8225
22,4,0.38182477667927744,0.5188688588142395,0.8875,0.82375
23,4,0.37413344129920006,0.5133733451366425,0.89078125,0.825
24,4,0.36666925221681596,0.5080651330947876,0.8928125,0.82625
25,4,0.35942109778523446,0.5029352009296417,0.8953125,0.82875
26,4,0.3523785924911499,0.49797517895698545,0.89828125,0.83
27,4,0.3455320662260056,0.49317732095718386,0.900625,0.831875
28,4,0.33887249886989596,0.4885343289375305,0.90328125,0.835625
29,4,0.3323914387822151,0.4840394270420074,0.90578125,0.83687500
0,5,1.2224409013986588,1.0532168340682984,0.5396875,0.62625
1,5,0.9388437765836716,0.9228421711921692,0.65609375,0.668125
2,5,0.801999197602272,0.8360409927368164,0.71390625,0.705
3,5,0.6833782964944839,0.8136138510704041,0.75546875,0.715625
4,5,0.6180621686577797,0.8029616069793701,0.78625,0.7275
5,5,0.5226993441581727,0.7785855078697205,0.81546875,0.73125
6,5,0.4642567516863346,0.8118742823600769,0.836875,0.741875
7,5,0.40246338456869124,0.7941524362564087,0.8590625,0.733125
8,5,0.35470628663897513,0.8947625231742858,0.87625,0.72375
9,5,0.3082466874271631,0.8409252643585206,0.890625,0.74375
10,5,0.26799914337694647,0.8121017289161682,0.90703125,0.76
11,5,0.22990163676440717,0.934499626159668,0.9178125,0.745
12,5,0.19935775119811297,1.025654079914093,0.9321875,0.724375
13,5,0.22132817283272743,0.9504200387001037,0.92421875,0.74375
14,5,0.15409029932692647,0.9869182515144348,0.94796875,0.75375
15,5,0.13388540785759687,1.173373544216156,0.954375,0.75
16,5,0.12169304037466645,1.2601217484474183,0.9584375,0.7225
17,5,0.1562176826968789,1.0486275959014892,0.945625,0.7725
18,5,0.09803353175520897,1.1900668621063233,0.96859375,0.760625
19,5,0.14465525891631842,1.217525339126587,0.95234375,0.7525
20,5,0.07376932730898261,1.384665904045105,0.9753125,0.76875
21,5,0.11189930987544358,1.3522470951080323,0.96203125,0.711875
22,5,0.08783934023231268,1.2875129556655884,0.97078125,0.758125
23,5,0.06166026752209291,1.5485932588577271,0.98,0.76125
24,5,0.0575017694151029,1.4326519393920898,0.98109375,0.764375
25,5,0.10334442598745226,1.5120728063583373,0.96390625,0.750625
26,5,0.09179108692333102,1.3568338942527771,0.96921875,0.775
27,5,0.0679644347075373,1.4353359246253967,0.97765625,0.764375
28,5,0.057392796068452295,1.5109804272651672,0.9809375,0.7475
29,5,0.08412161121144891,1.4748844385147095,0.97125,0.71875
0,6,1.4828213942050934,1.3490424346923828,0.380625,0.560625
1,6,1.2691489255428314,1.208042631149292,0.5328125,0.596875
2,6,1.1625057047605514,1.1103263258934022,0.5740625,0.62125
3,6,1.0902123165130615,1.0340878367424011,0.60359375,0.646875
4,6,1.0252866810560226,0.9730851769447326,0.62875,0.6675
5,6,0.9741540110111236,0.9199682569503784,0.64484375,0.6875
6,6,0.9273084789514542,0.8728989815711975,0.668125,0.69875
7,6,0.8871001714468002,0.8328838777542115,0.686875,0.714375
8,6,0.8481418526172638,0.7982877731323242,0.699375,0.723125
9,6,0.810003651380539,0.7644164133071899,0.7134375,0.733125
10,6,0.779582941532135,0.735958731174469,0.725,0.746875
11,6,0.7466659587621689,0.7058635807037353,0.73609375,0.756875
12,6,0.7227752989530564,0.6807529079914093,0.7465625,0.766875
13,6,0.6871970289945603,0.657423769235611,0.7625,0.778125
14,6,0.6588448664546013,0.6358994114398956,0.770625,0.780625
15,6,0.6416737657785415,0.6139371800422668,0.778125,0.793125
16,6,0.6257521349191666,0.5953303670883179,0.78625,0.79875
17,6,0.5945876041054725,0.576495851278305,0.79703125,0.80875
18,6,0.58198661506176,0.5618824076652527,0.7996875,0.811875
19,6,0.562040701508522,0.5461774957180023,0.81109375,0.816875
20,6,0.549986375272274,0.5315607416629792,0.8128125,0.81875
21,6,0.5257758897542953,0.5162677550315857,0.82421875,0.833125
22,6,0.5061465752124786,0.5036900353431701,0.8296875,0.835625
23,6,0.4967436072230339,0.4916911029815674,0.834375,0.839375
24,6,0.4867465376853943,0.47933404564857485,0.8346875,0.841875
25,6,0.4619962251186371,0.4686821043491364,0.84578125,0.84375
26,6,0.45404905289411546,0.4569919276237488,0.848125,0.85
27,6,0.443244614303112,0.4475498056411743,0.85453125,0.8525
28,6,0.43725999087095263,0.4375837844610214,0.853125,0.8525
29,6,0.41419090539216996,0.428165876865387,0.865625,0.858125
30,6,0.40416638627648355,0.420443075299263,0.87140625,0.86
31,6,0.3896814036369324,0.413551818728447,0.87546875,0.861875
32,6,0.38130901411175727,0.4067029881477356,0.87703125,0.86625
33,6,0.3809025385975838,0.39842609882354735,0.87515625,0.865625
34,6,0.3647529928386211,0.3927436810731888,0.88078125,0.86875
35,6,0.3545647715032101,0.38715330183506014,0.88484375,0.86875
36,6,0.348085697889328,0.37951526820659637,0.889375,0.870625
37,6,0.3337218561768532,0.3740613454580307,0.8909375,0.871875
38,6,0.3339341321587563,0.3678821897506714,0.89171875,0.876875
39,6,0.31868777215480804,0.36454075932502744,0.89453125,0.87625
40,6,0.31531601265072823,0.35917740225791933,0.89796875,0.8775
41,6,0.3060823982954025,0.3555504685640335,0.90375,0.88125
42,6,0.3007613915205002,0.3489670157432556,0.905,0.883125
43,6,0.2989258432388306,0.3448287296295166,0.90453125,0.88125
44,6,0.2833024743199348,0.34296047031879423,0.90859375,0.88625
45,6,0.27811449967324736,0.3377772498130798,0.911875,0.884375
46,6,0.2726327335089445,0.3322660732269287,0.91171875,0.886875
47,6,0.27001637309789656,0.33011110484600065,0.9121875,0.88875
48,6,0.258761780411005,0.32782804608345034,0.91953125,0.890625
49,6,0.25697299718856814,0.3247346132993698,0.92140625,0.890625
50,6,0.25446557492017746,0.32336707174777984,0.9203125,0.895
51,6,0.24155675284564496,0.3159454679489136,0.92796875,0.893125
52,6,0.2402073884755373,0.3132857620716095,0.92703125,0.895625
53,6,0.24350516885519027,0.30909772515296935,0.92125,0.9025
54,6,0.22508737519383432,0.3075017434358597,0.93296875,0.899375
55,6,0.22799672216176986,0.30656259834766386,0.92703125,0.899375
56,6,0.222623016089201,0.3043834662437439,0.933125,0.9
57,6,0.2211167670786381,0.30046958208084107,0.935,0.9
58,6,0.21072803407907487,0.29926456093788145,0.93265625,0.89875
59,6,0.21774860218167305,0.3007869666814804,0.9340625,0.9
60,6,0.21014462411403656,0.29384176909923554,0.93609375,0.904375
61,6,0.20536302734166384,0.29420274555683135,0.93515625,0.9075
62,6,0.2024636285007,0.2904074162244797,0.93703125,0.90375
63,6,0.19012838020920753,0.288800932765007,0.94390625,0.905625
64,6,0.19210574485361576,0.2884517979621887,0.94140625,0.906875
65,6,0.1889742988348007,0.28501603960990907,0.94046875,0.905625
66,6,0.182212872505188,0.28401091039180754,0.94546875,0.905625
67,6,0.18058523282408714,0.281550430059433,0.9459375,0.9075
68,6,0.17237619325518608,0.28182897955179215,0.94796875,0.91
69,6,0.18232755281031132,0.2800706198811531,0.941875,0.905
